idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag
-9223372036723837102,-9223372036848645354,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,34.0
-9223372036723837155,-9223372036848631139,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,145.0
-9223372036723837167,-9223372036848659027,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,126.0
-9223372036723837189,-9223372036848660600,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,43.0
-9223372036723837193,-9223372036848644950,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,13.0
-9223372036723837197,-9223372036849135504,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,11.0
-9223372036723837300,-9223372036848647717,21,BZ,C4,11,5,11,2017,POSITIVA,2017-11-05,50.0
-9223372036723837715,-9223372036848627360,21,BZ,C4,11,21,11,2017,POSITIVA,2017-11-21,67.0
-9223372036723837750,-9223372036848647741,21,BZ,C4,11,7,11,2017,NEGATIVA,2017-11-07,73.0
-9223372036723837752,-9223372036848653075,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,71.0
-9223372036723837753,-9223372036848656344,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,70.0
-9223372036723837823,-9223372036848624404,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,90.0
-9223372036723837826,-9223372036848635156,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,87.0
-9223372036723837833,-9223372036849134702,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,85.0
-9223372036723837840,-9223372036848649845,21,BZ,C4,11,29,11,2017,POSITIVA,2017-11-29,61.0
-9223372036723837877,-9223372036848659428,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,117.0
-9223372036723837890,-9223372036848620863,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,145.0
-9223372036723837903,-9223372036849122848,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,131.0
-9223372036723838054,-9223372036848634404,21,BZ,C4,11,24,11,2017,NEGATIVA,2017-11-24,53.0
