"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataIdentificazioneUnivoca","IdentificazioneSoggetto"
-9223372036155486208,-9223372036846519296,18,"PV","C4",11,2,3,2018,"2018-03-02",-9223372036846520320
-9223372036155514880,-9223372036849307648,25,"BL","C4",11,27,3,2018,"2018-03-27",-9223372036849307648
-9223372036154851328,-9223372036849428480,30,"UD","C4",11,25,4,2018,"2018-04-25",-9223372036849428480
-9223372036154937344,-9223372036847865856,24,"VI","C4",11,3,4,2018,"2018-04-03",-9223372036847865856
-9223372036155281408,-9223372036847159296,17,"BS","C4",11,16,4,2018,"2018-04-16",-9223372036847160320
-9223372036155566080,-9223372036847369216,21,"BZ","C4",11,27,4,2018,"2018-04-27",-9223372036847368192
-9223372036155645952,-9223372036846862336,31,"GO","C4",11,19,4,2018,"2018-04-19",-9223372036846862336
-9223372032947647488,-9223372036834404352,21,"BZ","C4",11,10,5,2018,"2018-05-10",-9223372036834404352
-9223372036154811392,-9223372036847380480,23,"VR","C4",11,21,5,2018,"2018-05-21",-9223372036847380480
-9223372036154874880,-9223372036847234048,4,"CN","C4",11,8,5,2018,"2018-05-08",-9223372036847234048
-9223372036155023360,-9223372036847886336,2,"VC","C4",11,16,5,2018,"2018-05-16",-9223372036847886336
-9223372036155032576,-9223372036847726592,24,"VI","C4",11,6,5,2018,"2018-05-06",-9223372036847727616
-9223372036155148288,-9223372036846670848,16,"BG","C4",11,25,5,2018,"2018-05-25",-9223372036846671872
-9223372036155516928,-9223372036849324032,21,"BZ","C4",11,18,5,2018,"2018-05-18",-9223372036849324032
-9223372036155539456,-9223372036849356800,97,"LC","C4",11,2,5,2018,"2018-05-02",-9223372036849355776
-9223372036155579392,-9223372036847894528,22,"TN","C4",11,13,5,2018,"2018-05-13",-9223372036847895552
-9223372036155598848,-9223372036849343488,1,"TO","C4",11,7,5,2018,"2018-05-07",-9223372036849344512
-9223372036155697152,-9223372036847325184,23,"VR","C4",11,21,5,2018,"2018-05-21",-9223372036847324160
-9223372029591432192,-9223372036834326528,21,"BZ","C4",11,24,6,2018,"2018-06-24",-9223372036834327552
-9223372036154829824,-9223372036847929344,22,"TN","C4",11,14,6,2018,"2018-06-14",-9223372036847928320
-9223372036154895360,-9223372036847269888,1,"TO","C4",11,1,6,2018,"2018-06-01",-9223372036847269888
-9223372036155049984,-9223372036849205248,21,"BZ","C4",11,4,6,2018,"2018-06-04",-9223372036849204224
-9223372036155168768,-9223372036846594048,1,"TO","C4",11,1,6,2018,"2018-06-01",-9223372036846594048
-9223372036155241472,-9223372036849327104,21,"BZ","C4",11,22,6,2018,"2018-06-22",-9223372036849328128
-9223372036155269120,-9223372036846475264,26,"TV","C4",11,4,6,2018,"2018-06-04",-9223372036846476288
-9223372036155597824,-9223372036846534656,17,"BS","C4",11,10,6,2018,"2018-06-10",-9223372036846535680
-9223372035255037952,-9223372036834325504,22,"TN","C4",11,9,7,2018,"2018-07-09",-9223372036834325504
-9223372036154959872,-9223372036847605760,22,"TN","C4",11,31,7,2018,"",-9223372036847605760
-9223372036155060224,-9223372036849392640,16,"BG","C4",11,1,7,2018,"2018-07-01",-9223372036849391616
-9223372036155392000,-9223372036849291264,24,"VI","C4",11,23,7,2018,"2018-07-23",-9223372036849292288
-9223372036155403264,-9223372036847367168,16,"BG","C4",11,12,7,2018,"2018-07-12",-9223372036847368192
-9223372036155463680,-9223372036846374912,93,"PN","C4",11,18,7,2018,"2018-07-18",-9223372036846375936
-9223372036155677696,-9223372036847360000,22,"TN","C4",11,9,7,2018,"2018-07-09",-9223372036847360000
-9223372036155747328,-9223372036846587904,1,"TO","C4",11,5,7,2018,"2018-07-05",-9223372036846587904
