"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","CodiceAziendaNascita","DestinazioneSoggetto","PesoAllaNascita","NumeroCapezzoli","date_formatted"
-9223372036083757056,-9223372036847915008,21,"BZ","C4",11,29,8,2017,-9223372036849261568,"Vita",NA,NA,2017-08-29
-9223372036098042880,-9223372036847967232,21,"BZ","C4",11,2,9,2017,-9223372036849263616,"Vita",NA,NA,2017-09-02
-9223372036105578496,-9223372036848034816,22,"TN","C4",11,2,9,2017,-9223372036849256448,"Vita",NA,NA,2017-09-02
-9223372036089337856,-9223372036844471296,21,"BZ","C4",11,3,9,2017,-9223372036847355904,"Vita",NA,NA,2017-09-03
-9223372036119676928,-9223372036848030720,21,"BZ","C4",11,4,9,2017,-9223372036849263616,"Vita",NA,NA,2017-09-04
-9223372036090181632,-9223372036847940608,21,"BZ","C4",11,6,9,2017,-9223372036849261568,"Vita",NA,NA,2017-09-06
-9223372035871143936,-9223372036844428288,16,"BG","C4",11,10,9,2017,-9223372036850039808,"Vita",NA,NA,2017-09-10
-9223372036085937152,-9223372036847924224,21,"BZ","C4",11,12,9,2017,-9223372036849261568,"Vita",NA,NA,2017-09-12
-9223372036094726144,-9223372036847955968,21,"BZ","C4",11,12,9,2017,-9223372036849259520,"Vita",NA,NA,2017-09-12
-9223372036082781184,-9223372036847911936,21,"BZ","C4",11,22,9,2017,-9223372036849259520,"Vita",NA,NA,2017-09-22
-9223372036101676032,-9223372036847986688,21,"BZ","C4",11,22,9,2017,-9223372036849261568,"Vita",NA,NA,2017-09-22
-9223372036123867136,-9223372036846934016,21,"BZ","C4",11,22,9,2017,-9223372036849259520,"Vita",NA,NA,2017-09-22
-9223372036081172480,-9223372036844126208,21,"BZ","C4",11,25,9,2017,-9223372036847370240,"Vita",NA,NA,2017-09-25
-9223372036091593728,-9223372036849277952,21,"BZ","C4",11,29,9,2017,-9223372036849261568,"Vita",NA,NA,2017-09-29
