idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza
-9223372036217053883,-9223372036848565427,24,VI,C4,11,26,11,2017,2017-11-26,POSITIVA
-9223372036217054964,-9223372036849384313,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217054965,-9223372036849657747,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217054966,-9223372036850176230,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217054970,-9223372036850185958,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217055616,-9223372036848573636,24,VI,C4,11,28,11,2017,2017-11-28,NEGATIVA
-9223372036217055617,-9223372036848574590,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217055621,-9223372036850183262,24,VI,C4,11,28,11,2017,2017-11-28,NEGATIVA
-9223372036217055623,-9223372036850185852,24,VI,C4,11,28,11,2017,2017-11-28,NEGATIVA
-9223372036217055626,-9223372036850186109,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217055627,-9223372036850186255,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217415938,-9223372036849365934,16,BG,C4,11,10,11,2017,2017-11-10,POSITIVA
-9223372036216415820,-9223372036848638895,21,BZ,C4,11,18,1,2018,2018-01-18,POSITIVA
-9223372036216417160,-9223372036849127520,21,BZ,C4,11,9,1,2018,2018-01-09,POSITIVA
-9223372036216419052,-9223372036848624702,21,BZ,C4,11,8,1,2018,2018-01-08,POSITIVA
-9223372036216419054,-9223372036848635010,21,BZ,C4,11,8,1,2018,2018-01-08,NEGATIVA
-9223372036216420280,-9223372036848644371,21,BZ,C4,11,20,1,2018,2018-01-20,NEGATIVA
-9223372036216421752,-9223372036848627116,21,BZ,C4,11,20,1,2018,2018-01-20,NEGATIVA
-9223372036216423877,-9223372036848661321,21,BZ,C4,11,27,1,2018,2018-01-27,POSITIVA
-9223372036216423909,-9223372036848642938,21,BZ,C4,11,6,1,2018,2018-01-06,POSITIVA
-9223372036216423910,-9223372036848657483,21,BZ,C4,11,6,1,2018,2018-01-06,POSITIVA
-9223372036216426521,-9223372036848642146,21,BZ,C4,11,19,1,2018,2018-01-19,POSITIVA
-9223372036216426535,-9223372036848662004,21,BZ,C4,11,18,1,2018,2018-01-18,POSITIVA
-9223372036216426954,-9223372036848620255,21,BZ,C4,11,12,1,2018,2018-01-12,POSITIVA
-9223372036216427447,-9223372036848659016,21,BZ,C4,11,13,1,2018,2018-01-13,POSITIVA
-9223372036216427841,-9223372036848621548,21,BZ,C4,11,2,1,2018,2018-01-02,POSITIVA
-9223372036216427842,-9223372036848627520,21,BZ,C4,11,2,1,2018,2018-01-02,POSITIVA
-9223372036216427858,-9223372036848646409,21,BZ,C4,11,15,1,2018,2018-01-15,POSITIVA
-9223372036216427866,-9223372036848632852,21,BZ,C4,11,10,1,2018,2018-01-10,POSITIVA
-9223372036216427932,-9223372036848628924,21,BZ,C4,11,18,1,2018,2018-01-18,POSITIVA
-9223372036216427944,-9223372036848632467,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216427947,-9223372036848642134,21,BZ,C4,11,15,1,2018,2018-01-15,POSITIVA
-9223372036216427950,-9223372036848652528,21,BZ,C4,11,15,1,2018,2018-01-15,RIVEDIBILE
-9223372036216428385,-9223372036849102013,21,BZ,C4,11,29,1,2018,2018-01-29,RIVEDIBILE
-9223372036216428388,-9223372036848642138,21,BZ,C4,11,26,1,2018,2018-01-26,POSITIVA
-9223372036216428391,-9223372036848623309,21,BZ,C4,11,26,1,2018,2018-01-26,POSITIVA
-9223372036216428806,-9223372036848616584,21,BZ,C4,11,25,1,2018,2018-01-25,POSITIVA
-9223372036216428815,-9223372036848627061,21,BZ,C4,11,12,1,2018,2018-01-12,POSITIVA
-9223372036216428817,-9223372036848649366,21,BZ,C4,11,12,1,2018,2018-01-12,POSITIVA
-9223372036216428868,-9223372036848662059,21,BZ,C4,11,11,1,2018,2018-01-11,POSITIVA
-9223372036216428880,-9223372036848660308,21,BZ,C4,11,13,1,2018,2018-01-13,NEGATIVA
-9223372036216429183,-9223372036848624521,21,BZ,C4,11,25,1,2018,2018-01-25,POSITIVA
-9223372036216429198,-9223372036848623725,21,BZ,C4,11,20,1,2018,2018-01-20,POSITIVA
-9223372036216429205,-9223372036848645218,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216429209,-9223372036850280363,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216429210,-9223372036848629477,21,BZ,C4,11,30,1,2018,2018-01-30,POSITIVA
-9223372036216429217,-9223372036848648854,21,BZ,C4,11,19,1,2018,2018-01-19,POSITIVA
-9223372036216429221,-9223372036848635432,21,BZ,C4,11,10,1,2018,2018-01-10,POSITIVA
-9223372036216429226,-9223372036848630204,21,BZ,C4,11,9,1,2018,2018-01-09,NEGATIVA
-9223372036216429227,-9223372036848634598,21,BZ,C4,11,9,1,2018,2018-01-09,POSITIVA
-9223372036216429228,-9223372036848657314,21,BZ,C4,11,9,1,2018,2018-01-09,POSITIVA
-9223372036216429233,-9223372036848657316,21,BZ,C4,11,18,1,2018,2018-01-18,POSITIVA
-9223372036216429285,-9223372036848642281,21,BZ,C4,11,11,1,2018,2018-01-11,NEGATIVA
-9223372036216429286,-9223372036848636160,21,BZ,C4,11,12,1,2018,2018-01-12,RIVEDIBILE
-9223372036216429305,-9223372036848617586,21,BZ,C4,11,4,1,2018,2018-01-04,POSITIVA
-9223372036216429319,-9223372036848660340,21,BZ,C4,11,12,1,2018,2018-01-12,NEGATIVA
-9223372036216429562,-9223372036848644585,21,BZ,C4,11,17,1,2018,2018-01-17,POSITIVA
-9223372036216429574,-9223372036848626512,21,BZ,C4,11,27,1,2018,2018-01-27,NEGATIVA
-9223372036216429592,-9223372036848629638,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216429593,-9223372036848636649,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216429626,-9223372036848648334,21,BZ,C4,11,15,1,2018,2018-01-15,POSITIVA
-9223372036216429627,-9223372036848655974,21,BZ,C4,11,15,1,2018,2018-01-15,POSITIVA
-9223372036216429630,-9223372036848626515,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216430138,-9223372036848640894,21,BZ,C4,11,2,1,2018,2018-01-02,POSITIVA
-9223372036216430141,-9223372036848661719,21,BZ,C4,11,2,1,2018,2018-01-02,POSITIVA
-9223372036216430539,-9223372036848653118,21,BZ,C4,11,29,1,2018,2018-01-29,POSITIVA
-9223372036216430552,-9223372036848623734,21,BZ,C4,11,20,1,2018,2018-01-20,POSITIVA
-9223372036216430559,-9223372036848660008,21,BZ,C4,11,16,1,2018,2018-01-16,NEGATIVA
-9223372036216430563,-9223372036848645234,21,BZ,C4,11,30,1,2018,2018-01-30,POSITIVA
-9223372036216430568,-9223372036848625453,21,BZ,C4,11,13,1,2018,2018-01-13,POSITIVA
-9223372036216430574,-9223372036848630218,21,BZ,C4,11,11,1,2018,2018-01-11,POSITIVA
-9223372036216430579,-9223372036848642785,21,BZ,C4,11,10,1,2018,2018-01-10,NEGATIVA
-9223372036216430591,-9223372036848630213,21,BZ,C4,11,26,1,2018,2018-01-26,POSITIVA
-9223372036216430597,-9223372036849128662,21,BZ,C4,11,26,1,2018,2018-01-26,POSITIVA
-9223372036216430602,-9223372036848629630,21,BZ,C4,11,20,1,2018,2018-01-20,POSITIVA
