idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,CodiceAziendaNascita,DestinazioneSoggetto,PesoAllaNascita,NumeroCapezzoli
-9223372036109057154,-9223372036848117010,21,BZ,C4,11,19,2,2017,-9.223372036849262e+18,Vita,,
-9223372036109057345,-9223372036848118598,21,BZ,C4,11,10,2,2017,-9.223372036849262e+18,Vita,,
-9223372036109064129,-9223372036848121621,21,BZ,C4,11,9,2,2017,-9.223372036849262e+18,Vita,,
-9223372036109075364,-9223372036848118271,21,BZ,C4,11,18,2,2017,-9.223372036849264e+18,Vita,,
-9223372036109431645,-9223372036848117560,21,BZ,C4,11,10,2,2017,-9.223372036849262e+18,Vita,,
-9223372036109433634,-9223372036848117641,21,BZ,C4,11,14,2,2017,-9.223372036849262e+18,Vita,,
-9223372036109435592,-9223372036848121618,21,BZ,C4,11,15,2,2017,-9.223372036849262e+18,Vita,,
-9223372036109784229,-9223372036848121241,21,BZ,C4,11,13,2,2017,-9.223372036849263e+18,Vita,,
-9223372036109784616,-9223372036848119340,21,BZ,C4,11,3,2,2017,-9.223372036849263e+18,Vita,,
-9223372036109808075,-9223372036848117764,21,BZ,C4,11,12,2,2017,-9.223372036849262e+18,Vita,,
-9223372036110072196,-9223372036848117908,21,BZ,C4,11,12,2,2017,-9.22337203684926e+18,Vita,,
-9223372036110079075,-9223372036848118018,21,BZ,C4,11,11,2,2017,-9.223372036849261e+18,Vita,,
-9223372036110084477,-9223372036848119017,21,BZ,C4,11,1,2,2017,-9.223372036849263e+18,Vita,,
-9223372036110438198,-9223372036848118951,21,BZ,C4,11,17,2,2017,-9.223372036849263e+18,Vita,,
-9223372036110781003,-9223372036848118599,21,BZ,C4,11,10,2,2017,-9.223372036849262e+18,Vita,,
-9223372036111122659,-9223372036848119338,21,BZ,C4,11,24,2,2017,-9.223372036849263e+18,Vita,,
-9223372036112618583,-9223372036848119206,21,BZ,C4,11,1,2,2017,-9.223372036849262e+18,Vita,,
-9223372036113275850,-9223372036848118591,21,BZ,C4,11,16,2,2017,-9.223372036849262e+18,Vita,,
-9223372036113845106,-9223372036845965141,22,TN,C4,11,6,2,2017,-9.223372036849257e+18,Vita,,
-9223372036113848631,-9223372036845965403,22,TN,C4,11,25,2,2017,-9.223372036849257e+18,Vita,,
-9223372036119162118,-9223372036848117216,21,BZ,C4,11,20,2,2017,-9.223372036849258e+18,Vita,,
-9223372031593707689,-9223372036831637219,21,BZ,C4,11,19,3,2017,-9.223372036834205e+18,Vita,,
-9223372032707561967,-9223372036829073680,21,BZ,C4,11,7,3,2017,-9.223372036844241e+18,Vita,,
-9223372035840062228,-9223372036835155993,21,BZ,C4,11,29,3,2017,-9.223372036835041e+18,Vita,,
-9223372035844751760,-9223372036835156084,21,BZ,C4,11,6,3,2017,-9.223372036849262e+18,Vita,,
-9223372036081769543,-9223372036847899903,21,BZ,C4,11,20,3,2017,-9.223372036849263e+18,Vita,,
-9223372036091595533,-9223372036847946241,21,BZ,C4,11,6,3,2017,-9.223372036849262e+18,Vita,,
-9223372036092391187,-9223372036847948512,21,BZ,C4,11,18,3,2017,-9.223372036849263e+18,Vita,,
-9223372036092780736,-9223372036847950598,21,BZ,C4,11,24,3,2017,-9.223372036849263e+18,Vita,,
-9223372036094353586,-9223372036847955271,21,BZ,C4,11,10,3,2017,-9.223372036849263e+18,Vita,,
-9223372036096232418,-9223372036847961565,21,BZ,C4,11,9,3,2017,-9.223372036849262e+18,Vita,,
-9223372036097440697,-9223372036847964716,21,BZ,C4,11,28,3,2017,-9.223372036849262e+18,Vita,,
-9223372036097750789,-9223372036847965751,21,BZ,C4,11,21,3,2017,-9.223372036849261e+18,Vita,,
-9223372036098647268,-9223372036847969405,21,BZ,C4,11,28,3,2017,-9.223372036849262e+18,Vita,,
-9223372036100366807,-9223372036847976552,21,BZ,C4,11,26,3,2017,-9.223372036849263e+18,Vita,,
-9223372036100749232,-9223372036847979883,21,BZ,C4,11,5,3,2017,-9.223372036849263e+18,Vita,,
-9223372036101050904,-9223372036847981658,21,BZ,C4,11,12,3,2017,-9.223372036849262e+18,Vita,,
-9223372036101052582,-9223372036847981673,21,BZ,C4,11,22,3,2017,-9.223372036849263e+18,Vita,,
-9223372036101664967,-9223372036847987675,21,BZ,C4,11,12,3,2017,-9.223372036849262e+18,Vita,,
