idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo
-9223372035851850281,-9223372036844420552,,,C4,11,6,5,2021,104.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851850293,-9223372036844428023,,,C4,11,6,5,2021,98.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851850305,-9223372036844428024,,,C4,11,6,5,2021,102.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851850317,-9223372036844426332,,,C4,11,6,5,2021,101.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851850329,-9223372036844468167,,,C4,11,6,5,2021,104.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850341,-9223372036844468173,,,C4,11,6,5,2021,103.0,59.0,GENETICO,Semestrale,2021,,,
-9223372035851850353,-9223372036844479718,,,C4,11,6,5,2021,103.0,59.0,GENETICO,Semestrale,2021,,,
-9223372035851850365,-9223372036844473606,,,C4,11,6,5,2021,102.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851850377,-9223372036847928656,,,C4,11,6,5,2021,104.0,62.0,GENETICO,Semestrale,2021,,,
-9223372035851850389,-9223372036844316060,,,C4,11,6,5,2021,102.0,40.0,GENETICO,Semestrale,2021,,,
-9223372035851850401,-9223372036844316048,,,C4,11,6,5,2021,106.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851850413,-9223372036844315862,,,C4,11,6,5,2021,91.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850425,-9223372036844212376,,,C4,11,6,5,2021,97.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850437,-9223372036844294404,,,C4,11,6,5,2021,98.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851850449,-9223372036844316184,,,C4,11,6,5,2021,100.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851850461,-9223372036844316185,,,C4,11,6,5,2021,104.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851850473,-9223372036844295022,,,C4,11,6,5,2021,106.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850485,-9223372036844385705,,,C4,11,6,5,2021,105.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851850497,-9223372036844224354,,,C4,11,6,5,2021,99.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851850509,-9223372036844294532,,,C4,11,6,5,2021,100.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851850521,-9223372036844294533,,,C4,11,6,5,2021,98.0,45.0,GENETICO,Semestrale,2021,,,
-9223372035851850533,-9223372036844316270,,,C4,11,6,5,2021,104.0,45.0,GENETICO,Semestrale,2021,,,
-9223372035851850545,-9223372036844316283,,,C4,11,6,5,2021,103.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850557,-9223372036844338696,,,C4,11,6,5,2021,103.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851850569,-9223372036844231511,,,C4,11,6,5,2021,94.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851850581,-9223372036844244352,,,C4,11,6,5,2021,97.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851850593,-9223372036844361989,,,C4,11,6,5,2021,99.0,45.0,GENETICO,Semestrale,2021,,,
-9223372035851850605,-9223372036844294140,,,C4,11,6,5,2021,110.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850617,-9223372036844386179,,,C4,11,6,5,2021,99.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851850629,-9223372036835155834,,,C4,11,6,5,2021,104.0,40.0,GENETICO,Semestrale,2021,,,
-9223372035851850641,-9223372036844316080,,,C4,11,6,5,2021,100.0,39.0,GENETICO,Semestrale,2021,,,
-9223372035851850653,-9223372036844339264,,,C4,11,6,5,2021,99.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851850665,-9223372036844339275,,,C4,11,6,5,2021,109.0,42.0,GENETICO,Semestrale,2021,,,
