idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataMacellazione,PesoCarcassa,PesoVivo,Categoria,Classificazione,PaeseDiProvenienza,ArrivatoMortoAlMacello,CodiceCausaleMorte,CarcassaDestinataAlConsumo,PaeseDiProvenienzaIso31663char
-9223372036068116679,-9223372036848655864,21,BZ,C4,11,14,12,2017,2017-12-14,,,,,IT,N,,N,
-9223372036068117071,-9223372036846948607,21,BZ,C4,11,14,12,2017,2017-12-14,,,,,IT,N,,N,
-9223372036068131414,-9223372036843984676,54,PG,C4,11,28,12,2017,2017-12-28,206.78,,D,,IT,N,,N,
-9223372036068189164,-9223372036847163774,20,MN,C4,11,29,12,2017,2017-12-29,,,E,R3,IT,N,,N,
-9223372036068202393,-9223372036843989404,98,LO,C4,11,29,12,2017,2017-12-29,,,D,O1,IT,N,,N,
-9223372035955261194,-9223372036837934237,21,BZ,C4,11,4,1,2018,2018-01-04,322.8,,0,00,IT,N,,N,
-9223372036025500303,-9223372036848592241,22,TN,C4,11,3,1,2018,2018-01-03,,,D,,IT,N,,N,
-9223372036030331445,-9223372036846949095,17,BS,C4,11,9,1,2018,2018-01-09,,,0,00,IT,N,,N,
-9223372036030614547,-9223372036847258687,2,VC,C4,11,15,1,2018,2018-01-15,100.0,170.0,V,O3,IT,N,,N,
-9223372036030614562,-9223372036847258688,2,VC,C4,11,15,1,2018,2018-01-15,105.0,180.0,Z,O3,IT,N,,N,
-9223372036057536801,-9223372036843588010,83,ME,C4,11,16,1,2018,2018-01-16,,,,,IT,N,,N,
-9223372036058215708,-9223372036843631427,30,UD,C4,11,18,1,2018,2018-01-18,,,,,IT,N,,N,
-9223372036058549866,-9223372036843653142,75,LE,C4,11,22,1,2018,2018-01-22,,,,,IT,N,,N,
-9223372036058871256,-9223372036843674554,25,BL,C4,11,29,1,2018,2018-01-29,,,0,00,IT,N,,N,
-9223372036059160003,-9223372036843687704,59,LT,C4,11,3,1,2018,2018-01-03,,,B,R1,IT,N,,N,
-9223372036059184096,-9223372036843689143,5,AT,C4,11,25,1,2018,2018-01-25,,,,,IT,N,,N,
-9223372036059326319,-9223372036846945200,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036059326686,-9223372036843698068,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036059329372,-9223372036843698134,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036059337871,-9223372036848662303,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036059337883,-9223372036846945914,21,BZ,C4,11,31,1,2018,2018-01-31,113.46,,,,IT,N,,N,
-9223372036059337894,-9223372036846949639,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036059337928,-9223372036843698412,21,BZ,C4,11,31,1,2018,2018-01-31,107.26,,,,IT,N,,N,
-9223372036059337953,-9223372036846938452,21,BZ,C4,11,31,1,2018,2018-01-31,106.02,,,,IT,N,,N,
-9223372036059337965,-9223372036846944630,21,BZ,C4,11,31,1,2018,2018-01-31,112.22,,,,IT,N,,N,
-9223372036059337976,-9223372036843698414,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036059337988,-9223372036843698415,21,BZ,C4,11,31,1,2018,2018-01-31,97.34,,,,IT,N,,N,
-9223372036059338014,-9223372036843698417,21,BZ,C4,11,16,1,2018,2018-01-16,,,,,IT,N,,N,
-9223372036059338082,-9223372036843698422,21,BZ,C4,11,23,1,2018,2018-01-23,,,,,IT,N,,N,
