idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataEliminazione,MotivoEliminazione
-9223372030268937547,-9223372036850526944,25,BL,C4,11,19,4,2024,2024-04-19,Macello
-9223372030342458179,-9223372036803120051,97,LC,C4,11,8,4,2024,2024-04-08,Macello
-9223372029880719756,-9223372036802818783,97,LC,C4,11,13,5,2024,2024-05-13,Macello
-9223372030007073152,-9223372036850034767,1,TO,C4,11,9,5,2024,2024-05-09,Morte in stalla
-9223372030016034074,-9223372036847526270,17,BS,C4,11,17,5,2024,2024-05-17,Macello
-9223372030036202240,-9223372036849604465,16,BG,C4,11,6,5,2024,2024-05-06,Macello
-9223372030071839613,-9223372036802802814,22,TN,C4,11,24,5,2024,2024-05-24,Morte in stalla
-9223372030184973791,-9223372036848601966,22,TN,C4,11,1,5,2024,2024-05-01,Macello
-9223372029498135187,-9223372036848963840,14,SO,C4,11,2,6,2024,2024-06-02,Morte in stalla
-9223372029905608894,-9223372036849090352,22,TN,C4,11,13,6,2024,2024-06-13,Macello
-9223372029939510979,-9223372036850381998,24,VI,C4,11,10,6,2024,2024-06-10,Macello
-9223372029676173252,-9223372036848634457,22,TN,C4,11,1,7,2024,2024-07-01,Macellazione per autoconsumo
-9223372029771510359,-9223372036847885331,1,TO,C4,11,1,7,2024,2024-07-01,Macello
-9223372029423456601,-9223372036848591406,22,TN,C4,11,21,8,2024,2024-08-21,Macello
