idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,GoodSeparationGose,CelluleSomaticheDifferenzialiDscc,DataAnalisiDscc,NumeroCampioneDscc
-9223372036733178064,-9223372036849411625,24,VI,C4,11,28,6,2018,1.0,78.7,2018-06-28,13028999
-9223372036733180219,-9223372036848553915,25,BL,C4,11,27,6,2018,1.0,89.5,2018-06-27,12006052
-9223372036733187685,-9223372036849354808,23,VR,C4,11,13,6,2018,1.0,67.6,2018-06-13,12079729
-9223372036733195290,-9223372036849409159,25,BL,C4,11,14,6,2018,1.0,81.4,2018-06-14,11389746
-9223372036733196964,-9223372036849497796,23,VR,C4,11,13,6,2018,1.0,77.4,2018-06-13,12079910
-9223372036733204995,-9223372036850294397,23,VR,C4,11,13,6,2018,1.0,56.8,2018-06-13,12080479
-9223372036733210719,-9223372036849082058,17,BS,C4,11,22,6,2018,1.0,71.8,2018-06-22,76533093
-9223372036733214235,-9223372036850207999,16,BG,C4,11,26,6,2018,1.0,84.1,2018-06-26,11460888
-9223372036733223048,-9223372036848656749,25,BL,C4,11,6,6,2018,1.0,78.6,2018-06-06,12007147
-9223372036733237300,-9223372036850350397,25,BL,C4,11,7,6,2018,1.0,61.1,2018-06-07,12007244
-9223372036733246884,-9223372036848631222,97,LC,C4,11,19,6,2018,1.0,48.6,2018-06-19,11453709
-9223372036733261919,-9223372036849690223,25,BL,C4,11,7,6,2018,1.0,87.8,2018-06-07,11997269
-9223372036733301996,-9223372036850526956,25,BL,C4,11,8,6,2018,1.0,85.0,2018-06-08,12118856
-9223372036733331755,-9223372036849497793,23,VR,C4,11,13,6,2018,1.0,64.5,2018-06-13,12080281
-9223372036733341852,-9223372036848552297,25,BL,C4,11,27,6,2018,1.0,72.9,2018-06-27,12006192
-9223372036733373917,-9223372036848632462,23,VR,C4,11,13,6,2018,1.0,68.0,2018-06-13,12080440
-9223372036733377908,-9223372036848655993,25,BL,C4,11,7,6,2018,1.0,80.5,2018-06-07,12007246
-9223372036733383803,-9223372036848565425,24,VI,C4,11,1,6,2018,1.0,63.3,2018-06-01,12988849
-9223372036733417211,-9223372036848628921,97,LC,C4,11,19,6,2018,1.0,45.8,2018-06-19,11453819
-9223372036733452401,-9223372036848622326,97,LC,C4,11,19,6,2018,1.0,43.8,2018-06-19,11454340
-9223372036733454245,-9223372036849349988,16,BG,C4,11,26,6,2018,1.0,60.2,2018-06-26,11588218
-9223372036733486073,-9223372036848648702,23,VR,C4,11,13,6,2018,1.0,75.5,2018-06-13,12080442
-9223372036733503560,-9223372036848553986,25,BL,C4,11,7,6,2018,1.0,87.5,2018-06-07,73468613
-9223372036733504528,-9223372036848633332,97,LC,C4,11,19,6,2018,1.0,82.8,2018-06-19,11453775
-9223372036733515850,-9223372036848634819,97,LC,C4,11,19,6,2018,1.0,35.5,2018-06-19,11453661
-9223372036733515902,-9223372036848645470,97,LC,C4,11,19,6,2018,1.0,68.5,2018-06-19,11454028
-9223372036733517669,-9223372036849515606,28,PD,C4,11,14,6,2018,1.0,53.2,2018-06-14,13004262
-9223372036733539111,-9223372036849498582,18,PV,C4,11,12,6,2018,1.0,46.2,2018-06-12,11702956
-9223372036733584098,-9223372036848655112,24,VI,C4,11,1,6,2018,1.0,76.7,2018-06-01,12988834
