idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcdaIndiceComplessivoDupliceAttitudine,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,IdaIndiceDiDupliceAttitudine
-9223372033074811771,-9223372036835156625,,,C4,11,24,10,2022,674.97,92.9,GENETICO,semestrale,2022,
-9223372033074811783,-9223372036835156626,,,C4,11,24,10,2022,39.9,92.3,GENETICO,semestrale,2022,
-9223372033074811795,-9223372036835156628,,,C4,11,24,10,2022,229.02,86.6,GENETICO,semestrale,2022,
-9223372033074811822,-9223372036835156629,,,C4,11,24,10,2022,350.69,97.0,GENETICO,semestrale,2022,
-9223372033074811828,-9223372036835156631,,,C4,11,24,10,2022,-23.04,85.3,GENETICO,semestrale,2022,
-9223372033074811840,-9223372036835156632,,,C4,11,24,10,2022,249.46,97.4,GENETICO,semestrale,2022,
-9223372033074811846,-9223372036835156633,,,C4,11,24,10,2022,529.72,94.7,GENETICO,semestrale,2022,
-9223372033074811858,-9223372036835156634,,,C4,11,24,10,2022,344.48,96.1,GENETICO,semestrale,2022,
-9223372033074811864,-9223372036835156635,,,C4,11,24,10,2022,453.18,96.7,GENETICO,semestrale,2022,
-9223372033074811876,-9223372036835156637,,,C4,11,24,10,2022,405.15,92.9,GENETICO,semestrale,2022,
-9223372033074811888,-9223372036835156638,,,C4,11,24,10,2022,730.86,92.7,GENETICO,semestrale,2022,
-9223372033074811894,-9223372036835156639,,,C4,11,24,10,2022,252.85,90.9,GENETICO,semestrale,2022,
-9223372033074811906,-9223372036835156640,,,C4,11,24,10,2022,60.32,88.7,GENETICO,semestrale,2022,
-9223372033074811915,-9223372036835156641,,,C4,11,24,10,2022,314.35,90.8,GENETICO,semestrale,2022,
-9223372033074811927,-9223372036835156645,,,C4,11,24,10,2022,6.87,93.7,GENETICO,semestrale,2022,
-9223372033074811939,-9223372036835156646,,,C4,11,24,10,2022,249.46,96.6,GENETICO,semestrale,2022,
-9223372033074811945,-9223372036835156647,,,C4,11,24,10,2022,257.43,93.8,GENETICO,semestrale,2022,
-9223372033074811957,-9223372036835156648,,,C4,11,24,10,2022,357.14,93.1,GENETICO,semestrale,2022,
-9223372033074811963,-9223372036835156649,,,C4,11,24,10,2022,159.74,89.6,GENETICO,semestrale,2022,
-9223372033074811975,-9223372036835156650,,,C4,11,24,10,2022,175.49,90.3,GENETICO,semestrale,2022,
-9223372033074811981,-9223372036835156651,,,C4,11,24,10,2022,283.04,88.3,GENETICO,semestrale,2022,
-9223372033074811993,-9223372036835156653,,,C4,11,24,10,2022,351.58,90.2,GENETICO,semestrale,2022,
-9223372033074812008,-9223372036835156654,,,C4,11,24,10,2022,61.68,92.6,GENETICO,semestrale,2022,
-9223372033074812014,-9223372036835156655,,,C4,11,24,10,2022,65.89,92.4,GENETICO,semestrale,2022,
-9223372033074812020,-9223372036835156657,,,C4,11,24,10,2022,63.23,96.4,GENETICO,semestrale,2022,
-9223372033074812032,-9223372036835156658,,,C4,11,24,10,2022,188.31,89.8,GENETICO,semestrale,2022,
-9223372033074812038,-9223372036835156662,,,C4,11,24,10,2022,249.09,98.2,GENETICO,semestrale,2022,
-9223372033074812050,-9223372036835156663,,,C4,11,24,10,2022,60.98,91.1,GENETICO,semestrale,2022,
-9223372033074812056,-9223372036835156664,,,C4,11,24,10,2022,246.75,93.5,GENETICO,semestrale,2022,
-9223372033074812083,-9223372036835156666,,,C4,11,24,10,2022,121.01,91.5,GENETICO,semestrale,2022,
-9223372033074812095,-9223372036835156667,,,C4,11,24,10,2022,569.75,97.4,GENETICO,semestrale,2022,
-9223372033074812107,-9223372036835156670,,,C4,11,24,10,2022,125.3,97.3,GENETICO,semestrale,2022,
-9223372033074812113,-9223372036835156671,,,C4,11,24,10,2022,225.43,97.4,GENETICO,semestrale,2022,
-9223372033074812125,-9223372036835156673,,,C4,11,24,10,2022,424.28,98.4,GENETICO,semestrale,2022,
-9223372033074812137,-9223372036835156674,,,C4,11,24,10,2022,375.14,93.5,GENETICO,semestrale,2022,
-9223372033074812143,-9223372036844123242,,,C4,11,24,10,2022,464.3,90.3,GENETICO,semestrale,2022,
-9223372033074812155,-9223372036835156678,,,C4,11,24,10,2022,185.44,90.2,GENETICO,semestrale,2022,
-9223372033074812182,-9223372036835156679,,,C4,11,24,10,2022,77.69,91.1,GENETICO,semestrale,2022,
-9223372033074812188,-9223372036835156680,,,C4,11,24,10,2022,127.13,93.6,GENETICO,semestrale,2022,
-9223372033074812200,-9223372036835156681,,,C4,11,24,10,2022,-21.89,89.6,GENETICO,semestrale,2022,
-9223372033074812206,-9223372036835156682,,,C4,11,24,10,2022,231.14,97.8,GENETICO,semestrale,2022,
-9223372033074812218,-9223372036835156683,,,C4,11,24,10,2022,297.15,85.3,GENETICO,semestrale,2022,
-9223372033074812230,-9223372036835156684,,,C4,11,24,10,2022,442.99,98.4,GENETICO,semestrale,2022,
-9223372033074812236,-9223372036835156685,,,C4,11,24,10,2022,356.0,90.4,GENETICO,semestrale,2022,
-9223372033074812248,-9223372036835156686,,,C4,11,24,10,2022,138.53,91.6,GENETICO,semestrale,2022,
-9223372033074812260,-9223372036835156687,,,C4,11,24,10,2022,236.44,94.9,GENETICO,semestrale,2022,
-9223372033074812266,-9223372036835156688,,,C4,11,24,10,2022,428.35,93.0,GENETICO,semestrale,2022,
-9223372033074812293,-9223372036835156690,,,C4,11,24,10,2022,-20.46,98.5,GENETICO,semestrale,2022,
-9223372033074812305,-9223372036844537215,,,C4,11,24,10,2022,77.26,93.8,GENETICO,semestrale,2022,
-9223372033074812311,-9223372036835156694,,,C4,11,24,10,2022,652.9,98.4,GENETICO,semestrale,2022,
-9223372033074812323,-9223372036809480738,,,C4,11,24,10,2022,390.75,80.0,GENETICO,semestrale,2022,
-9223372033074812341,-9223372036835156695,,,C4,11,24,10,2022,664.0,98.2,GENETICO,semestrale,2022,
-9223372033074812353,-9223372036835156696,,,C4,11,24,10,2022,221.72,90.5,GENETICO,semestrale,2022,
-9223372033074812359,-9223372036835156698,,,C4,11,24,10,2022,806.15,94.4,GENETICO,semestrale,2022,
-9223372033074812371,-9223372036835156699,,,C4,11,24,10,2022,133.65,96.2,GENETICO,semestrale,2022,
-9223372033074812383,-9223372036835156702,,,C4,11,24,10,2022,24.5,91.1,GENETICO,semestrale,2022,
-9223372033074812389,-9223372036835156704,,,C4,11,24,10,2022,8.7,93.5,GENETICO,semestrale,2022,
-9223372033074812404,-9223372036835156705,,,C4,11,24,10,2022,599.84,91.5,GENETICO,semestrale,2022,
-9223372033074812416,-9223372036835156706,,,C4,11,24,10,2022,182.19,82.0,GENETICO,semestrale,2022,
-9223372033074812422,-9223372036835156707,,,C4,11,24,10,2022,39.17,85.3,GENETICO,semestrale,2022,
-9223372033074812434,-9223372036835156708,,,C4,11,24,10,2022,163.12,97.9,GENETICO,semestrale,2022,
-9223372033074812446,-9223372036835156709,,,C4,11,24,10,2022,348.83,93.7,GENETICO,semestrale,2022,
-9223372033074812452,-9223372036835156710,,,C4,11,24,10,2022,600.87,87.9,GENETICO,semestrale,2022,
-9223372033074812464,-9223372036835156712,,,C4,11,24,10,2022,364.65,93.0,GENETICO,semestrale,2022,
-9223372033074812473,-9223372036835156713,,,C4,11,24,10,2022,587.94,97.0,GENETICO,semestrale,2022,
-9223372033074812485,-9223372036835156716,,,C4,11,24,10,2022,533.41,97.7,GENETICO,semestrale,2022,
