,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag,identifying_column
156,-9223372036723851629,-9223372036850108146,2,VC,C4,11,16,11,2017,POSITIVA,2017-11-16,10493815.0,-9223372036850108146_2017-11-16
157,-9223372036723821671,-9223372036848638895,21,BZ,C4,11,18,1,2018,POSITIVA,2018-01-18,5.0,-9223372036848638895_2018-01-18
158,-9223372036723822862,-9223372036848635986,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,68.0,-9223372036848635986_2018-01-09
159,-9223372036723822867,-9223372036848638706,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,66.0,-9223372036848638706_2018-01-09
160,-9223372036723822874,-9223372036848642059,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,65.0,-9223372036848642059_2018-01-09
161,-9223372036723822913,-9223372036848658835,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,19.0,-9223372036848658835_2018-01-09
162,-9223372036723822920,-9223372036849127520,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,27.0,-9223372036849127520_2018-01-09
163,-9223372036723823173,-9223372036848624702,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,41.0,-9223372036848624702_2018-01-08
164,-9223372036723823174,-9223372036848633697,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,39.0,-9223372036848633697_2018-01-08
165,-9223372036723823176,-9223372036848635010,21,BZ,C4,11,8,1,2018,NEGATIVA,2018-01-08,40.0,-9223372036848635010_2018-01-08
166,-9223372036723824206,-9223372036848646214,21,BZ,C4,11,2,1,2018,NEGATIVA,2018-01-02,89.0,-9223372036848646214_2018-01-02
167,-9223372036723825973,-9223372036848627116,21,BZ,C4,11,20,1,2018,NEGATIVA,2018-01-20,4.0,-9223372036848627116_2018-01-20
168,-9223372036723825979,-9223372036848644371,21,BZ,C4,11,20,1,2018,NEGATIVA,2018-01-20,1.0,-9223372036848644371_2018-01-20
169,-9223372036723829240,-9223372036848632002,21,BZ,C4,11,17,1,2018,POSITIVA,2018-01-17,41.0,-9223372036848632002_2018-01-17
170,-9223372036723829246,-9223372036848659139,21,BZ,C4,11,17,1,2018,NEGATIVA,2018-01-17,32.0,-9223372036848659139_2018-01-17
171,-9223372036723829391,-9223372036848642711,21,BZ,C4,11,27,1,2018,NEGATIVA,2018-01-27,16.0,-9223372036848642711_2018-01-27
172,-9223372036723829397,-9223372036848646142,21,BZ,C4,11,27,1,2018,POSITIVA,2018-01-27,14.0,-9223372036848646142_2018-01-27
173,-9223372036723829410,-9223372036848658184,21,BZ,C4,11,27,1,2018,RIVEDIBILE,2018-01-27,4.0,-9223372036848658184_2018-01-27
174,-9223372036723829417,-9223372036848661321,21,BZ,C4,11,27,1,2018,POSITIVA,2018-01-27,10.0,-9223372036848661321_2018-01-27
175,-9223372036723829420,-9223372036848662495,21,BZ,C4,11,27,1,2018,NEGATIVA,2018-01-27,1.0,-9223372036848662495_2018-01-27
176,-9223372036723829637,-9223372036848642938,21,BZ,C4,11,6,1,2018,POSITIVA,2018-01-06,6.0,-9223372036848642938_2018-01-06
177,-9223372036723829638,-9223372036848657483,21,BZ,C4,11,6,1,2018,POSITIVA,2018-01-06,3.0,-9223372036848657483_2018-01-06
178,-9223372036723829827,-9223372036848641385,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,48.0,-9223372036848641385_2018-01-12
179,-9223372036723829830,-9223372036848651118,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,43.0,-9223372036848651118_2018-01-12
180,-9223372036723829834,-9223372036848652186,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,40.0,-9223372036848652186_2018-01-12
181,-9223372036723830000,-9223372036848662205,21,BZ,C4,11,3,1,2018,NEGATIVA,2018-01-03,152.0,-9223372036848662205_2018-01-03
182,-9223372036723830934,-9223372036848646419,21,BZ,C4,11,18,1,2018,POSITIVA,2018-01-18,5.0,-9223372036848646419_2018-01-18
183,-9223372036723831507,-9223372036848656801,21,BZ,C4,11,29,1,2018,POSITIVA,2018-01-29,72.0,-9223372036848656801_2018-01-29
184,-9223372036723831624,-9223372036848642968,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,184.0,-9223372036848642968_2018-01-08
185,-9223372036723831637,-9223372036848659533,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,160.0,-9223372036848659533_2018-01-08
186,-9223372036723831639,-9223372036849108131,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,176.0,-9223372036849108131_2018-01-08
