,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,GoodSeparationGose,CelluleSomaticheDifferenzialiDscc,DataAnalisiDscc,NumeroCampioneDscc,full_date,identifying_column
116,-9223372036734153285,-9223372036848649936,14,SO,C4,11,28,3,2018,,80.3,2018-03-28,76304051,2018-03-28,-9223372036848649936_2018-03-28
117,-9223372036734166187,-9223372036848652859,25,BL,C4,11,20,3,2018,1.0,82.8,2018-03-20,11996876,2018-03-20,-9223372036848652859_2018-03-20
118,-9223372036734176417,-9223372036848617098,14,SO,C4,11,28,3,2018,,44.6,2018-03-28,73791249,2018-03-28,-9223372036848617098_2018-03-28
119,-9223372036734211138,-9223372036849089109,25,BL,C4,11,2,3,2018,1.0,40.2,2018-03-02,73612395,2018-03-02,-9223372036849089109_2018-03-02
120,-9223372036734214746,-9223372036850079368,14,SO,C4,11,13,3,2018,,86.6,2018-03-13,73790075,2018-03-13,-9223372036850079368_2018-03-13
121,-9223372036734261278,-9223372036849525748,24,VI,C4,11,22,3,2018,1.0,88.7,2018-03-22,11427902,2018-03-22,-9223372036849525748_2018-03-22
122,-9223372036734261812,-9223372036849409159,25,BL,C4,11,30,3,2018,1.0,85.1,2018-03-30,12010354,2018-03-30,-9223372036849409159_2018-03-30
123,-9223372036734283231,-9223372036849083862,17,BS,C4,11,16,3,2018,,76.8,2018-03-16,76180564,2018-03-16,-9223372036849083862_2018-03-16
124,-9223372036734319438,-9223372036850391119,24,VI,C4,11,3,3,2018,1.0,67.9,2018-03-03,73565344,2018-03-03,-9223372036850391119_2018-03-03
125,-9223372036733047190,-9223372036849090804,17,BS,C4,11,18,4,2018,,74.5,2018-04-18,76256679,2018-04-18,-9223372036849090804_2018-04-18
126,-9223372036733061997,-9223372036850291027,17,BS,C4,11,3,4,2018,,38.9,2018-04-03,76216128,2018-04-03,-9223372036850291027_2018-04-03
127,-9223372036733090799,-9223372036850381987,24,VI,C4,11,11,4,2018,1.0,54.1,2018-04-11,12042349,2018-04-11,-9223372036850381987_2018-04-11
128,-9223372036733117917,-9223372036849785908,24,VI,C4,11,3,4,2018,1.0,22.4,2018-04-03,11978360,2018-04-03,-9223372036849785908_2018-04-03
129,-9223372036733179601,-9223372036848636810,25,BL,C4,11,3,4,2018,1.0,59.7,2018-04-03,12010186,2018-04-03,-9223372036848636810_2018-04-03
130,-9223372036733216149,-9223372036849455429,17,BS,C4,11,18,4,2018,,65.5,2018-04-18,76175411,2018-04-18,-9223372036849455429_2018-04-18
131,-9223372036733289776,-9223372036849411625,24,VI,C4,11,10,4,2018,1.0,77.6,2018-04-10,11978228,2018-04-10,-9223372036849411625_2018-04-10
132,-9223372036733291702,-9223372036848916612,17,BS,C4,11,18,4,2018,,82.8,2018-04-18,73424681,2018-04-18,-9223372036848916612_2018-04-18
133,-9223372036733319875,-9223372036848859874,17,BS,C4,11,18,4,2018,,54.5,2018-04-18,73424440,2018-04-18,-9223372036848859874_2018-04-18
134,-9223372036733332917,-9223372036848632341,25,BL,C4,11,3,4,2018,1.0,87.4,2018-04-03,12010474,2018-04-03,-9223372036848632341_2018-04-03
135,-9223372036733356251,-9223372036850291014,17,BS,C4,11,3,4,2018,,80.3,2018-04-03,76216328,2018-04-03,-9223372036850291014_2018-04-03
136,-9223372036733362194,-9223372036849453948,17,BS,C4,11,18,4,2018,,37.8,2018-04-18,76256511,2018-04-18,-9223372036849453948_2018-04-18
137,-9223372036733496706,-9223372036849455427,17,BS,C4,11,18,4,2018,,77.7,2018-04-18,73424613,2018-04-18,-9223372036849455427_2018-04-18
138,-9223372036733502712,-9223372036848639576,25,BL,C4,11,3,4,2018,1.0,74.5,2018-04-03,12010146,2018-04-03,-9223372036848639576_2018-04-03
139,-9223372036733540924,-9223372036848606200,24,VI,C4,11,4,4,2018,1.0,75.6,2018-04-04,11976185,2018-04-04,-9223372036848606200_2018-04-04
140,-9223372036733544337,-9223372036848553913,25,BL,C4,11,12,4,2018,1.0,63.5,2018-04-12,73261569,2018-04-12,-9223372036848553913_2018-04-12
141,-9223372036733563039,-9223372036848553914,25,BL,C4,11,12,4,2018,1.0,52.2,2018-04-12,73261682,2018-04-12,-9223372036848553914_2018-04-12
142,-9223372036733591675,-9223372036848598625,25,BL,C4,11,3,4,2018,1.0,61.6,2018-04-03,12010471,2018-04-03,-9223372036848598625_2018-04-03
143,-9223372036733603099,-9223372036849455437,17,BS,C4,11,18,4,2018,,44.8,2018-04-18,73424467,2018-04-18,-9223372036849455437_2018-04-18
144,-9223372036733620465,-9223372036848553915,25,BL,C4,11,12,4,2018,1.0,87.1,2018-04-12,73261651,2018-04-12,-9223372036848553915_2018-04-12
145,-9223372036733621252,-9223372036848588963,24,VI,C4,11,3,4,2018,1.0,74.8,2018-04-03,11978355,2018-04-03,-9223372036848588963_2018-04-03
146,-9223372036733662866,-9223372036850391119,24,VI,C4,11,11,4,2018,1.0,68.4,2018-04-11,11997525,2018-04-11,-9223372036850391119_2018-04-11
147,-9223372036733674980,-9223372036849089109,25,BL,C4,11,30,4,2018,1.0,39.1,2018-04-30,11986286,2018-04-30,-9223372036849089109_2018-04-30
148,-9223372036733683035,-9223372036848887978,17,BS,C4,11,18,4,2018,,79.2,2018-04-18,73424221,2018-04-18,-9223372036848887978_2018-04-18
149,-9223372036733707140,-9223372036849830068,24,VI,C4,11,10,4,2018,1.0,69.3,2018-04-10,11978415,2018-04-10,-9223372036849830068_2018-04-10
150,-9223372036733743231,-9223372036849793215,24,VI,C4,11,3,4,2018,1.0,83.3,2018-04-03,11978310,2018-04-03,-9223372036849793215_2018-04-03
151,-9223372036733754937,-9223372036849793204,24,VI,C4,11,3,4,2018,1.0,70.7,2018-04-03,11978227,2018-04-03,-9223372036849793204_2018-04-03
152,-9223372036733764568,-9223372036849455436,17,BS,C4,11,18,4,2018,,81.9,2018-04-18,73424340,2018-04-18,-9223372036849455436_2018-04-18
153,-9223372036733813592,-9223372036848917746,17,BS,C4,11,18,4,2018,,75.8,2018-04-18,73424276,2018-04-18,-9223372036848917746_2018-04-18
154,-9223372036733820835,-9223372036849455447,17,BS,C4,11,18,4,2018,,55.9,2018-04-18,73424260,2018-04-18,-9223372036849455447_2018-04-18
155,-9223372036733866731,-9223372036850381407,24,VI,C4,11,11,4,2018,1.0,82.0,2018-04-11,12042209,2018-04-11,-9223372036850381407_2018-04-11
156,-9223372036733879428,-9223372036849793199,24,VI,C4,11,3,4,2018,1.0,43.3,2018-04-03,11978300,2018-04-03,-9223372036849793199_2018-04-03
157,-9223372036733898040,-9223372036848859873,17,BS,C4,11,18,4,2018,,62.0,2018-04-18,73424341,2018-04-18,-9223372036848859873_2018-04-18
158,-9223372036733923868,-9223372036848914340,17,BS,C4,11,17,4,2018,,78.4,2018-04-17,76256619,2018-04-17,-9223372036848914340_2018-04-17
159,-9223372036733942307,-9223372036848917131,17,BS,C4,11,18,4,2018,,63.3,2018-04-18,73424214,2018-04-18,-9223372036848917131_2018-04-18
160,-9223372036733960761,-9223372036848902665,17,BS,C4,11,18,4,2018,,82.8,2018-04-18,76256693,2018-04-18,-9223372036848902665_2018-04-18
161,-9223372036733965577,-9223372036849675936,24,VI,C4,11,11,4,2018,1.0,60.1,2018-04-11,11998154,2018-04-11,-9223372036849675936_2018-04-11
