,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza,full_date,identifying_column
80,-9223372036216466747,-9223372036848640663,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA,2017-11-07,-9223372036848640663_2017-11-07
81,-9223372036216470359,-9223372036848651167,21,BZ,C4,11,24,11,2017,2017-11-24,NEGATIVA,2017-11-24,-9223372036848651167_2017-11-24
82,-9223372036216471744,-9223372036848657475,21,BZ,C4,11,29,11,2017,2017-11-29,POSITIVA,2017-11-29,-9223372036848657475_2017-11-29
83,-9223372036216472451,-9223372036848660709,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848660709_2017-11-11
84,-9223372036216472842,-9223372036848656913,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848656913_2017-11-28
85,-9223372036216472855,-9223372036848658528,21,BZ,C4,11,13,11,2017,2017-11-13,NEGATIVA,2017-11-13,-9223372036848658528_2017-11-13
86,-9223372036216472876,-9223372036848629771,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA,2017-11-16,-9223372036848629771_2017-11-16
87,-9223372036216473089,-9223372036848628097,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036848628097_2017-11-13
88,-9223372036216473097,-9223372036848637870,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036848637870_2017-11-04
89,-9223372036216473255,-9223372036848634663,21,BZ,C4,11,19,11,2017,2017-11-19,RIVEDIBILE,2017-11-19,-9223372036848634663_2017-11-19
90,-9223372036216473288,-9223372036848662058,21,BZ,C4,11,7,11,2017,2017-11-07,NEGATIVA,2017-11-07,-9223372036848662058_2017-11-07
91,-9223372036216473340,-9223372036848636819,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036848636819_2017-11-04
92,-9223372036216473341,-9223372036848644058,21,BZ,C4,11,4,11,2017,2017-11-04,NEGATIVA,2017-11-04,-9223372036848644058_2017-11-04
93,-9223372036216473526,-9223372036849119185,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036849119185_2017-11-04
94,-9223372036216473550,-9223372036848653984,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848653984_2017-11-11
95,-9223372036216473568,-9223372036848644112,21,BZ,C4,11,28,11,2017,2017-11-28,RIVEDIBILE,2017-11-28,-9223372036848644112_2017-11-28
96,-9223372036216473664,-9223372036848660254,21,BZ,C4,11,2,11,2017,2017-11-02,POSITIVA,2017-11-02,-9223372036848660254_2017-11-02
97,-9223372036216473781,-9223372036848633481,21,BZ,C4,11,13,11,2017,2017-11-13,NEGATIVA,2017-11-13,-9223372036848633481_2017-11-13
98,-9223372036216473800,-9223372036848642416,21,BZ,C4,11,8,11,2017,2017-11-08,POSITIVA,2017-11-08,-9223372036848642416_2017-11-08
99,-9223372036216473959,-9223372036848662379,21,BZ,C4,11,13,11,2017,2017-11-13,NEGATIVA,2017-11-13,-9223372036848662379_2017-11-13
100,-9223372036216474228,-9223372036848622696,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA,2017-11-17,-9223372036848622696_2017-11-17
101,-9223372036216474230,-9223372036848655693,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA,2017-11-17,-9223372036848655693_2017-11-17
102,-9223372036216474237,-9223372036848654199,21,BZ,C4,11,18,11,2017,2017-11-18,POSITIVA,2017-11-18,-9223372036848654199_2017-11-18
103,-9223372036216474439,-9223372036848662480,21,BZ,C4,11,1,11,2017,2017-11-01,NEGATIVA,2017-11-01,-9223372036848662480_2017-11-01
104,-9223372036216474458,-9223372036848640248,21,BZ,C4,11,2,11,2017,2017-11-02,POSITIVA,2017-11-02,-9223372036848640248_2017-11-02
105,-9223372036216474922,-9223372036848632299,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848632299_2017-11-28
106,-9223372036216474923,-9223372036848632300,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848632300_2017-11-28
107,-9223372036216474924,-9223372036848632353,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848632353_2017-11-28
108,-9223372036216474929,-9223372036849312638,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036849312638_2017-11-13
109,-9223372036216475250,-9223372036848622589,21,BZ,C4,11,30,11,2017,2017-11-30,POSITIVA,2017-11-30,-9223372036848622589_2017-11-30
110,-9223372036216475327,-9223372036848624522,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA,2017-11-17,-9223372036848624522_2017-11-17
111,-9223372036216475335,-9223372036848629511,21,BZ,C4,11,6,11,2017,2017-11-06,POSITIVA,2017-11-06,-9223372036848629511_2017-11-06
