,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo,identifying_column
7980,-9223372035851944808,-9223372036847951916,,,C4,11,6,5,2021,91.0,49.0,GENETICO,Semestrale,2021,,,,-9223372036847951916_2021
7981,-9223372035851944820,-9223372036847959188,,,C4,11,6,5,2021,98.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847959188_2021
7982,-9223372035851944832,-9223372036846943758,,,C4,11,6,5,2021,100.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036846943758_2021
7983,-9223372035851944844,-9223372036847951948,,,C4,11,6,5,2021,98.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036847951948_2021
7984,-9223372035851944856,-9223372036847962910,,,C4,11,6,5,2021,98.0,62.0,GENETICO,Semestrale,2021,,,,-9223372036847962910_2021
7985,-9223372035851944868,-9223372036846607615,,,C4,11,6,5,2021,99.0,55.0,GENETICO,Semestrale,2021,,,,-9223372036846607615_2021
7986,-9223372035851944880,-9223372036847940320,,,C4,11,6,5,2021,105.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036847940320_2021
7987,-9223372035851944892,-9223372036847961612,,,C4,11,6,5,2021,100.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847961612_2021
7988,-9223372035851944904,-9223372036847922860,,,C4,11,6,5,2021,99.0,55.0,GENETICO,Semestrale,2021,,,,-9223372036847922860_2021
7989,-9223372035851944916,-9223372036847956626,,,C4,11,6,5,2021,113.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847956626_2021
7990,-9223372035851944928,-9223372036847947459,,,C4,11,6,5,2021,97.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847947459_2021
7991,-9223372035851944940,-9223372036846494613,,,C4,11,6,5,2021,96.0,53.0,GENETICO,Semestrale,2021,,,,-9223372036846494613_2021
7992,-9223372035851944952,-9223372036847947770,,,C4,11,6,5,2021,99.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847947770_2021
7993,-9223372035851944964,-9223372036847952818,,,C4,11,6,5,2021,98.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847952818_2021
7994,-9223372035851944988,-9223372036847378539,,,C4,11,6,5,2021,103.0,59.0,GENETICO,Semestrale,2021,,,,-9223372036847378539_2021
7995,-9223372035851945000,-9223372036847950523,,,C4,11,6,5,2021,109.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847950523_2021
7996,-9223372035851945012,-9223372036847965756,,,C4,11,6,5,2021,91.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847965756_2021
7997,-9223372035851945024,-9223372036847984673,,,C4,11,6,5,2021,112.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847984673_2021
7998,-9223372035851945036,-9223372036847963890,,,C4,11,6,5,2021,97.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847963890_2021
7999,-9223372035851945048,-9223372036847963889,,,C4,11,6,5,2021,103.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847963889_2021
8000,-9223372035851945060,-9223372036846936982,,,C4,11,6,5,2021,108.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036846936982_2021
8001,-9223372035851945072,-9223372036846936983,,,C4,11,6,5,2021,104.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036846936983_2021
8002,-9223372035851945084,-9223372036847958156,,,C4,11,6,5,2021,96.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847958156_2021
8003,-9223372035851945096,-9223372036847952884,,,C4,11,6,5,2021,92.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847952884_2021
8004,-9223372035851945108,-9223372036847981619,,,C4,11,6,5,2021,99.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847981619_2021
8005,-9223372035851945120,-9223372036847952859,,,C4,11,6,5,2021,102.0,66.0,GENETICO,Semestrale,2021,,,,-9223372036847952859_2021
8006,-9223372035851945132,-9223372036847964735,,,C4,11,6,5,2021,101.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036847964735_2021
8007,-9223372035851945144,-9223372036848610733,,,C4,11,6,5,2021,99.0,54.0,GENETICO,Semestrale,2021,,,,-9223372036848610733_2021
8008,-9223372035851945156,-9223372036848610729,,,C4,11,6,5,2021,98.0,55.0,GENETICO,Semestrale,2021,,,,-9223372036848610729_2021
8009,-9223372035851945168,-9223372036847930117,,,C4,11,6,5,2021,102.0,59.0,GENETICO,Semestrale,2021,,,,-9223372036847930117_2021
8010,-9223372035851945180,-9223372036847938412,,,C4,11,6,5,2021,102.0,49.0,GENETICO,Semestrale,2021,,,,-9223372036847938412_2021
8011,-9223372035851945192,-9223372036847954109,,,C4,11,6,5,2021,107.0,48.0,GENETICO,Semestrale,2021,,,,-9223372036847954109_2021
8012,-9223372035851945204,-9223372036847987774,,,C4,11,6,5,2021,101.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036847987774_2021
8013,-9223372035851945216,-9223372036847987767,,,C4,11,6,5,2021,105.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847987767_2021
8014,-9223372035851945228,-9223372036846941761,,,C4,11,6,5,2021,108.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036846941761_2021
8015,-9223372035851945240,-9223372036849357572,,,C4,11,6,5,2021,104.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036849357572_2021
8016,-9223372035851945252,-9223372036847955257,,,C4,11,6,5,2021,107.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847955257_2021
8017,-9223372035851945264,-9223372036847878812,,,C4,11,6,5,2021,105.0,51.0,GENETICO,Semestrale,2021,,,,-9223372036847878812_2021
8018,-9223372035851945276,-9223372036847877777,,,C4,11,6,5,2021,104.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847877777_2021
8019,-9223372035851945288,-9223372036847952820,,,C4,11,6,5,2021,97.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847952820_2021
8020,-9223372035851945300,-9223372036847958177,,,C4,11,6,5,2021,101.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847958177_2021
8021,-9223372035851945312,-9223372036847938387,,,C4,11,6,5,2021,101.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036847938387_2021
8022,-9223372035851945324,-9223372036847952817,,,C4,11,6,5,2021,103.0,66.0,GENETICO,Semestrale,2021,,,,-9223372036847952817_2021
8023,-9223372035851945336,-9223372036847948492,,,C4,11,6,5,2021,109.0,52.0,GENETICO,Semestrale,2021,,,,-9223372036847948492_2021
8024,-9223372035851945348,-9223372036847945048,,,C4,11,6,5,2021,98.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847945048_2021
8025,-9223372035851945360,-9223372036847926674,,,C4,11,6,5,2021,99.0,51.0,GENETICO,Semestrale,2021,,,,-9223372036847926674_2021
8026,-9223372035851945372,-9223372036847951959,,,C4,11,6,5,2021,102.0,58.0,GENETICO,Semestrale,2021,,,,-9223372036847951959_2021
8027,-9223372035851945384,-9223372036847951938,,,C4,11,6,5,2021,99.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847951938_2021
8028,-9223372035851945396,-9223372036847962874,,,C4,11,6,5,2021,107.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847962874_2021
8029,-9223372035851945408,-9223372036847327650,,,C4,11,6,5,2021,104.0,51.0,GENETICO,Semestrale,2021,,,,-9223372036847327650_2021
8030,-9223372035851945420,-9223372036847943547,,,C4,11,6,5,2021,104.0,62.0,GENETICO,Semestrale,2021,,,,-9223372036847943547_2021
8031,-9223372035851945432,-9223372036847943550,,,C4,11,6,5,2021,95.0,62.0,GENETICO,Semestrale,2021,,,,-9223372036847943550_2021
8032,-9223372035851945444,-9223372036847936323,,,C4,11,6,5,2021,107.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847936323_2021
8033,-9223372035851945456,-9223372036848004497,,,C4,11,6,5,2021,97.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036848004497_2021
8034,-9223372035851945468,-9223372036847958287,,,C4,11,6,5,2021,91.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847958287_2021
8035,-9223372035851945480,-9223372036847951924,,,C4,11,6,5,2021,106.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036847951924_2021
8036,-9223372035851945492,-9223372036846935958,,,C4,11,6,5,2021,103.0,59.0,GENETICO,Semestrale,2021,,,,-9223372036846935958_2021
8037,-9223372035851945504,-9223372036846945400,,,C4,11,6,5,2021,101.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036846945400_2021
8038,-9223372035851945516,-9223372036847936312,,,C4,11,6,5,2021,106.0,55.0,GENETICO,Semestrale,2021,,,,-9223372036847936312_2021
8039,-9223372035851945528,-9223372036847943527,,,C4,11,6,5,2021,93.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847943527_2021
8040,-9223372035851945540,-9223372036847987744,,,C4,11,6,5,2021,104.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847987744_2021
8041,-9223372035851945552,-9223372036847961588,,,C4,11,6,5,2021,98.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847961588_2021
8042,-9223372035851945564,-9223372036847941771,,,C4,11,6,5,2021,107.0,57.0,GENETICO,Semestrale,2021,,,,-9223372036847941771_2021
8043,-9223372035851945576,-9223372036847941769,,,C4,11,6,5,2021,102.0,57.0,GENETICO,Semestrale,2021,,,,-9223372036847941769_2021
8044,-9223372035851945588,-9223372036847981637,,,C4,11,6,5,2021,105.0,57.0,GENETICO,Semestrale,2021,,,,-9223372036847981637_2021
8045,-9223372035851945600,-9223372036847981663,,,C4,11,6,5,2021,97.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847981663_2021
8046,-9223372035851945612,-9223372036847948499,,,C4,11,6,5,2021,110.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847948499_2021
8047,-9223372035851945624,-9223372036847969418,,,C4,11,6,5,2021,108.0,58.0,GENETICO,Semestrale,2021,,,,-9223372036847969418_2021
8048,-9223372035851945636,-9223372036848004516,,,C4,11,6,5,2021,97.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036848004516_2021
8049,-9223372035851945648,-9223372036847939621,,,C4,11,6,5,2021,102.0,58.0,GENETICO,Semestrale,2021,,,,-9223372036847939621_2021
8050,-9223372035851945660,-9223372036847951944,,,C4,11,6,5,2021,101.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847951944_2021
8051,-9223372035851945672,-9223372036847952863,,,C4,11,6,5,2021,104.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847952863_2021
8052,-9223372035851945684,-9223372036847959192,,,C4,11,6,5,2021,103.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847959192_2021
8053,-9223372035851945696,-9223372036847952850,,,C4,11,6,5,2021,113.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847952850_2021
8054,-9223372035851945708,-9223372036847984598,,,C4,11,6,5,2021,103.0,58.0,GENETICO,Semestrale,2021,,,,-9223372036847984598_2021
8055,-9223372035851945720,-9223372036847948426,,,C4,11,6,5,2021,98.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847948426_2021
8056,-9223372035851945732,-9223372036847959194,,,C4,11,6,5,2021,100.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847959194_2021
8057,-9223372035851945744,-9223372036847954113,,,C4,11,6,5,2021,102.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847954113_2021
8058,-9223372035851945756,-9223372036848591763,,,C4,11,6,5,2021,102.0,71.0,GENETICO,Semestrale,2021,,,,-9223372036848591763_2021
8059,-9223372035851945768,-9223372036847946226,,,C4,11,6,5,2021,100.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847946226_2021
8060,-9223372035851945780,-9223372036846494735,,,C4,11,6,5,2021,100.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036846494735_2021
8061,-9223372035851945792,-9223372036847988670,,,C4,11,6,5,2021,93.0,58.0,GENETICO,Semestrale,2021,,,,-9223372036847988670_2021
8062,-9223372035851945804,-9223372036847936689,,,C4,11,6,5,2021,102.0,54.0,GENETICO,Semestrale,2021,,,,-9223372036847936689_2021
8063,-9223372035851945816,-9223372036847965794,,,C4,11,6,5,2021,102.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847965794_2021
8064,-9223372035851945828,-9223372036847964291,,,C4,11,6,5,2021,100.0,66.0,GENETICO,Semestrale,2021,,,,-9223372036847964291_2021
8065,-9223372035851945840,-9223372036847961644,,,C4,11,6,5,2021,100.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847961644_2021
8066,-9223372035851945852,-9223372036847947404,,,C4,11,6,5,2021,110.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847947404_2021
8067,-9223372035851945864,-9223372036847947405,,,C4,11,6,5,2021,101.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847947405_2021
