idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataAsciutta
-9223372036220079898,-9223372036848659598,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220079923,-9223372036847856123,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220079924,-9223372036847856130,22,TN,C4,11,15,11,2017,2017-11-15
-9223372036220080233,-9223372036848603657,22,TN,C4,11,10,11,2017,2017-11-10
-9223372036220080266,-9223372036848658526,22,TN,C4,11,20,11,2017,2017-11-20
-9223372036220080326,-9223372036848649535,21,BZ,C4,11,6,11,2017,2017-11-06
-9223372036220080527,-9223372036848596506,22,TN,C4,11,2,11,2017,2017-11-02
-9223372036220080777,-9223372036849117234,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220080829,-9223372036848600490,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220080856,-9223372036848603232,22,TN,C4,11,8,11,2017,2017-11-08
-9223372036220080860,-9223372036848638117,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220081201,-9223372036848595422,22,TN,C4,11,2,11,2017,2017-11-02
-9223372036220082197,-9223372036848115394,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220082393,-9223372036848645091,21,BZ,C4,11,14,11,2017,2017-11-14
-9223372036220082709,-9223372036848602823,22,TN,C4,11,25,11,2017,2017-11-25
-9223372036220082819,-9223372036848654026,21,BZ,C4,11,23,11,2017,2017-11-23
-9223372036220082982,-9223372036848644154,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220083151,-9223372036848599872,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220083175,-9223372036848603500,22,TN,C4,11,4,11,2017,2017-11-04
-9223372036220083590,-9223372036848605270,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220083609,-9223372036847856116,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220085092,-9223372036849082341,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220085525,-9223372036848604697,22,TN,C4,11,10,11,2017,2017-11-10
-9223372036220086386,-9223372036848595839,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220086389,-9223372036848605933,22,TN,C4,11,10,11,2017,2017-11-10
-9223372036220086698,-9223372036848596498,22,TN,C4,11,19,11,2017,2017-11-19
-9223372036220086701,-9223372036848599604,22,TN,C4,11,16,11,2017,2017-11-16
-9223372036220087131,-9223372036848655031,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220087679,-9223372036848628597,22,TN,C4,11,19,11,2017,2017-11-19
-9223372036220088168,-9223372036849085767,22,TN,C4,11,30,11,2017,2017-11-30
-9223372036220088391,-9223372036848600735,22,TN,C4,11,20,11,2017,2017-11-20
-9223372036220089445,-9223372036847855879,22,TN,C4,11,22,11,2017,2017-11-22
-9223372036220090317,-9223372036848600163,22,TN,C4,11,30,11,2017,2017-11-30
-9223372036220090562,-9223372036849109514,22,TN,C4,11,30,11,2017,2017-11-30
-9223372036220091690,-9223372036848629090,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220091693,-9223372036848655769,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220092280,-9223372036848643080,22,TN,C4,11,27,11,2017,2017-11-27
-9223372036220092310,-9223372036848597198,22,TN,C4,11,26,11,2017,2017-11-26
-9223372036220093375,-9223372036847855889,21,BZ,C4,11,13,11,2017,2017-11-13
-9223372036220095014,-9223372036848645691,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220095122,-9223372036848602419,22,TN,C4,11,30,11,2017,2017-11-30
-9223372036220096336,-9223372036848629852,21,BZ,C4,11,8,11,2017,2017-11-08
-9223372036220096409,-9223372036848634487,21,BZ,C4,11,9,11,2017,2017-11-09
-9223372036220096742,-9223372036848621957,21,BZ,C4,11,24,11,2017,2017-11-24
-9223372036220096859,-9223372036848635469,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220097105,-9223372036848641084,21,BZ,C4,11,7,11,2017,2017-11-07
-9223372036220098450,-9223372036848661718,21,BZ,C4,11,13,11,2017,2017-11-13
-9223372036220099638,-9223372036848662051,21,BZ,C4,11,22,11,2017,2017-11-22
-9223372036220099835,-9223372036848635630,21,BZ,C4,11,13,11,2017,2017-11-13
-9223372036220099887,-9223372036847855945,16,BG,C4,11,18,11,2017,2017-11-18
-9223372036220101367,-9223372036848645670,21,BZ,C4,11,24,11,2017,2017-11-24
